Orthogroup	PR	PS	PT
OG0000010		PS010274.2.0, PS011306.2.0, PS012221.2.0, PS015632.2.0, PS021195.2.0, PS022039.2.0, PS022138.2.0, PS022689.2.0, PS031680.2.0, PS031818.2.0, PS040789.2.0, PS040874.2.0, PS052932.2.0, PS053283.2.0, PS055444.2.0, PS063951.2.0, PS072889.2.0, PS073479.2.0, PS073579.2.0, PS103296.2.0	PT011237.0, PT015056.0, PT015436.0, PT015543.0, PT016449.0, PT030399.0, PT030420.0, PT030499.0, PT031163.0, PT040201.0, PT041378.0, PT042347.0, PT053297.0, PT053536.0, PT053679.0, PT053714.0, PT061580.0, PT062763.0, PT072897.0, PT094574.0, PT100440.0, PT111867.0, PT131876.0, PT150492.0, PT150857.0, PT164728.0, PT172574.0, PT190425.0, PT193646.0
OG0000011	PR035161.0	PS010221.2.0, PS010382.2.0, PS014949.2.0, PS020598.2.0, PS022263.2.0, PS022363.2.0, PS022991.2.0, PS023811.2.0, PS026092.2.0, PS026782.2.0, PS050033.2.0, PS053245.2.0, PS060192.2.0, PS073456.2.0, PS080255.2.0, PS083630.2.0, PS090312.2.0, PS092673.2.0, PS102421.2.0, PS103615.2.0, PS113673.2.0	PT010555.0, PT011239.0, PT015174.0, PT015287.0, PT017053.0, PT024604.0, PT030446.0, PT040345.0, PT045269.0, PT053673.0, PT061824.0, PT073951.0, PT080859.0, PT081442.0, PT093631.0, PT100117.0, PT101580.0, PT111833.0, PT123637.0, PT131397.0, PT133404.0, PT150389.0, PT171408.0, PT191432.0
OG0000012	PR040358.0, PR052399.0, PR052400.0, PR061929.0, PR072922.0, PR073509.0, PR073609.0, PR073612.0, PR073615.0	PS011401.2.0, PS011402.2.0, PS011403.2.0, PS011404.2.0, PS013914.2.0, PS013915.2.0, PS022462.2.0, PS023176.2.0, PS023696.2.0, PS025623.2.0, PS025629.2.0, PS026968.2.0, PS035465.2.0, PS041754.2.0, PS051902.2.0, PS061770.2.0, PS061771.2.0, PS063944.2.0, PS063945.2.0, PS063946.2.0	PT010348.0, PT011724.0, PT013712.0, PT020392.0, PT041797.0, PT041799.0, PT041801.0, PT044167.0, PT044168.0, PT052236.0, PT074303.0, PT110289.0, PT113536.0, PT121842.0, PT121843.0, PT124081.0, PT124082.0
OG0000013	PR010855.0, PR021529.0, PR023010.0, PR024263.0, PR031197.0, PR043673.0, PR050422.0, PR051279.0, PR061684.0, PR071366.0, PR073184.0		PT011114.0, PT011956.0, PT012953.0, PT013453.0, PT013639.0, PT021103.0, PT024181.0, PT024326.0, PT030269.0, PT030812.0, PT031846.0, PT034736.0, PT040276.0, PT040668.0, PT042563.0, PT051469.0, PT052421.0, PT053265.0, PT053267.0, PT080071.0, PT081265.0, PT082317.0, PT083715.0, PT091366.0, PT093137.0, PT101722.0, PT101900.0, PT101969.0, PT121514.0, PT140133.0, PT150335.0, PT150799.0, PT173334.0
OG0000014	PR013760.0, PR031385.0	PS060034.2.0, PS064001.2.0, PS110208.2.0	PT011652.0, PT021782.0, PT034012.0, PT040459.0, PT040544.0, PT041404.0, PT041471.0, PT041763.0, PT044203.0, PT045332.0, PT045613.0, PT053452.0, PT053595.0, PT053794.0, PT093928.0, PT094091.0, PT094116.0, PT094439.0, PT100119.0, PT100247.0, PT100309.0, PT100359.0, PT100390.0, PT100395.0, PT100436.0, PT100468.0, PT100493.0, PT102889.0, PT120075.0, PT120082.0, PT120272.0, PT142984.0, PT150159.0, PT150461.0, PT150685.0, PT161310.0, PT202962.0, PT202967.0
OG0000015	PR021304.0	PS010818.2.0, PS093399.2.0	PT040831.0, PT040832.0, PT055474.0, PT092780.0, PT092836.0, PT093524.0, PT093533.0, PT093981.0, PT094262.0, PT094273.0, PT094283.0, PT094302.0, PT094322.0, PT094326.0, PT100547.0, PT100549.0, PT142603.0, PT143307.0, PT143309.0, PT143318.0, PT143369.0, PT143602.0, PT143675.0, PT143903.0, PT143905.0, PT183343.0, PT183358.0, PT183530.0, PT183535.0, PT191558.0, PT210215.0, PT210217.0, PT210241.0, PT210252.0, PT210417.0, PT210694.0, PT210728.0, PT210738.0, PT210746.0, PT211291.0
OG0000016	PR013575.0, PR014186.0, PR022241.0, PR030698.0, PR040015.0, PR040229.0, PR063152.0, PR063172.0		PT020219.0, PT041562.0, PT041571.0, PT041585.0, PT041590.0, PT041593.0, PT041594.0, PT051987.0, PT060174.0, PT060182.0, PT060183.0, PT060186.0, PT060189.0, PT060191.0, PT060193.0, PT060200.0, PT060201.0, PT060204.0, PT070004.0, PT100583.0, PT115568.0, PT115578.0, PT124249.0, PT124251.0, PT124255.0, PT124256.0, PT124259.0, PT124260.0, PT124261.0, PT124276.0, PT124277.0, PT203540.0, PT222515.0
OG0000017	PR012691.0, PR020383.0, PR021766.0, PR052336.0	PS083155.2.0, PS112210.2.0	PT011320.0, PT014669.0, PT014926.0, PT015288.0, PT023380.0, PT024428.0, PT024430.0, PT024432.0, PT024563.0, PT024599.0, PT025983.0, PT030314.0, PT034671.0, PT035032.0, PT040330.0, PT042128.0, PT073403.0, PT073405.0, PT073453.0, PT083781.0, PT083833.0, PT090059.0, PT111158.0, PT115370.0, PT120167.0, PT132952.0, PT151081.0, PT160408.0, PT200259.0, PT210188.0, PT211091.0, PT211092.0, PT211093.0, PT222541.0
OG0000018	PR022888.0, PR022892.0, PR022913.0, PR022915.0, PR023119.0, PR043880.0, PR043882.0, PR043915.0, PR043918.0, PR043919.0, PR043920.0, PR043923.0, PR043948.0	PS010888.2.0, PS010894.2.0, PS010895.2.0, PS020660.2.0, PS054623.2.0, PS054629.2.0, PS054630.2.0, PS054636.2.0, PS054637.2.0, PS054638.2.0, PS092868.2.0, PS092896.2.0, PS111288.2.0, PS111290.2.0	PT040911.0, PT040918.0, PT040919.0, PT040921.0, PT055099.0, PT055105.0, PT055109.0, PT092920.0, PT092946.0, PT142775.0, PT160640.0, PT182606.0, PT211225.0
OG0000019	PR011210.0, PR011509.0, PR011639.0, PR011726.0, PR024757.0, PR024876.0, PR025727.0, PR031314.0, PR031533.0, PR031719.0, PR031760.0, PR032765.0, PR033552.0, PR040695.0, PR051667.0, PR060255.0, PR060295.0, PR060953.0, PR070300.0, PR071373.0, PR071949.0, PR072471.0, PR073687.0		PT012067.0, PT020858.0, PT025447.0, PT030924.0, PT033047.0, PT112216.0, PT133284.0, PT141185.0, PT151869.0, PT162824.0, PT171722.0, PT180837.0, PT192348.0, PT193430.0
OG0000020	PR033540.0, PR033541.0, PR033542.0, PR033543.0, PR033546.0, PR033547.0, PR033548.0, PR033551.0, PR033553.0, PR034314.0, PR034349.0	PS040044.2.0, PS041147.2.0, PS081085.2.0	PT083526.0, PT083528.0, PT083532.0, PT084568.0, PT150067.0, PT151247.0, PT151248.0, PT151249.0, PT151250.0, PT151252.0, PT151254.0, PT151255.0, PT151256.0, PT161321.0, PT162296.0, PT162298.0, PT162300.0, PT170880.0, PT170882.0, PT170887.0, PT170889.0, PT170891.0, PT170893.0
OG0000021	PR033523.0, PR050656.0, PR072977.0, PR072978.0, PR072979.0, PR072980.0, PR072982.0	PS012102.2.0, PS023635.2.0, PS023636.2.0, PS025691.2.0, PS025692.2.0, PS025695.2.0, PS025697.2.0, PS025698.2.0, PS025699.2.0, PS027031.2.0, PS027032.2.0, PS027035.2.0, PS027036.2.0, PS027039.2.0, PS041159.2.0, PS081096.2.0	PT010281.0, PT010283.0, PT010284.0, PT010285.0, PT011651.0, PT011656.0, PT011657.0, PT013764.0, PT013765.0, PT013766.0, PT042215.0, PT083512.0, PT151279.0
OG0000022	PR062977.0	PS033229.2.0	PT020839.0, PT022749.0, PT024949.0, PT030166.0, PT032598.0, PT033984.0, PT043756.0, PT044379.0, PT052604.0, PT054784.0, PT055723.0, PT061727.0, PT073079.0, PT073457.0, PT080085.0, PT081790.0, PT083766.0, PT090928.0, PT091687.0, PT092919.0, PT102856.0, PT110756.0, PT133074.0, PT142282.0, PT172455.0, PT180206.0, PT180633.0, PT181131.0, PT191150.0, PT192422.0, PT200754.0, PT211141.0, PT212794.0, PT222317.0
OG0000023	PR010392.0, PR010393.0, PR010394.0, PR014453.0, PR020893.0, PR021441.0, PR021446.0, PR021448.0, PR021451.0, PR021460.0, PR021595.0, PR024919.0	PS084140.2.0, PS090852.2.0, PS090854.2.0, PS102306.2.0, PS110601.2.0, PS110602.2.0, PS112943.2.0, PS112948.2.0, PS112949.2.0	PT080318.0, PT090859.0, PT090861.0, PT093635.0, PT093637.0, PT093675.0, PT101501.0, PT140880.0, PT140881.0, PT140886.0, PT143449.0, PT143451.0, PT143452.0, PT180704.0
OG0000024	PR012154.0, PR013097.0, PR020581.0, PR021721.0, PR033560.0, PR042305.0, PR044913.0, PR054324.0, PR061410.0, PR063021.0		PT011348.0, PT011780.0, PT014428.0, PT020147.0, PT031015.0, PT032694.0, PT050023.0, PT050116.0, PT053831.0, PT054730.0, PT055103.0, PT084024.0, PT084201.0, PT100820.0, PT101094.0, PT111304.0, PT150325.0, PT150472.0, PT182283.0, PT183413.0, PT183597.0, PT190463.0, PT191036.0, PT191240.0, PT222258.0
OG0000025		PS010143.2.0, PS033743.2.0, PS035031.2.0, PS040938.2.0, PS054188.2.0, PS060663.2.0, PS060671.2.0, PS061193.2.0, PS063940.2.0, PS071228.2.0, PS072613.2.0, PS073430.2.0	PT014928.0, PT020905.0, PT022238.0, PT030556.0, PT031451.0, PT032869.0, PT034510.0, PT054654.0, PT063516.0, PT070743.0, PT080021.0, PT093965.0, PT094088.0, PT103723.0, PT120022.0, PT120712.0, PT121380.0, PT122796.0, PT130489.0, PT131501.0, PT141430.0, PT151027.0, PT180090.0
OG0000026	PR013327.0, PR013601.0, PR042702.0, PR043042.0, PR045287.0, PR045288.0, PR045291.0, PR045297.0, PR045300.0, PR045338.0, PR045350.0, PR045357.0, PR045358.0, PR045364.0, PR045366.0, PR045370.0, PR045374.0, PR045380.0, PR045385.0, PR045387.0, PR052823.0, PR072899.0, PR073024.0	PS010117.2.0, PS010129.2.0, PS010130.2.0, PS026594.2.0, PS055389.2.0	PT034507.0, PT160044.0, PT200028.0, PT200032.0, PT200035.0, PT222108.0
OG0000027		PS011131.2.0, PS031199.2.0, PS060151.2.0, PS072888.2.0, PS100270.2.0, PS103646.2.0	PT011379.0, PT011856.0, PT023215.0, PT024901.0, PT031164.0, PT031856.0, PT032794.0, PT032919.0, PT033111.0, PT040844.0, PT042735.0, PT042815.0, PT043402.0, PT044110.0, PT051083.0, PT051278.0, PT051756.0, PT052408.0, PT053529.0, PT073154.0, PT100776.0, PT103682.0, PT103770.0, PT110465.0, PT120157.0, PT150248.0, PT173248.0, PT173327.0
OG0000028		PS012992.2.0, PS012993.2.0, PS013781.2.0, PS025641.2.0, PS040421.2.0, PS042361.2.0, PS051468.2.0, PS083143.2.0, PS090530.2.0, PS092670.2.0, PS093349.2.0, PS100873.2.0, PS102045.2.0, PS102507.2.0, PS113275.2.0	PT011709.0, PT040433.0, PT040721.0, PT043211.0, PT044037.0, PT051778.0, PT061267.0, PT061907.0, PT073776.0, PT092716.0, PT101290.0, PT103037.0, PT111332.0, PT112541.0, PT140561.0, PT152518.0, PT200049.0, PT203512.0, PT211120.0
OG0000029	PR014601.0, PR020707.0, PR024359.0, PR025645.0, PR032102.0, PR053199.0	PS014829.2.0, PS014830.2.0, PS014831.2.0, PS060782.2.0, PS070431.2.0, PS070432.2.0, PS082643.2.0, PS082644.2.0, PS090808.2.0, PS091592.2.0, PS110161.2.0, PS113181.2.0	PT033709.0, PT033710.0, PT045136.0, PT081915.0, PT081916.0, PT090816.0, PT091620.0, PT120833.0, PT140655.0, PT141490.0, PT143924.0, PT163656.0, PT180580.0, PT181326.0, PT213232.0
OG0000030	PR062509.0, PR062510.0, PR062511.0, PR062512.0, PR062513.0	PS032182.2.0, PS032183.2.0, PS032184.2.0, PS032185.2.0, PS052570.2.0, PS052572.2.0, PS052573.2.0, PS052579.2.0, PS052581.2.0, PS052582.2.0, PS052584.2.0, PS052585.2.0, PS052586.2.0	PT023855.0, PT023856.0, PT023857.0, PT023858.0, PT052906.0, PT052911.0, PT052913.0, PT052914.0, PT052917.0, PT052918.0, PT052919.0, PT065172.0, PT065174.0, PT131925.0, PT131926.0
OG0000031	PR021545.0	PS011587.2.0, PS014277.2.0, PS014461.2.0, PS014611.2.0, PS020353.2.0, PS021551.2.0, PS023143.2.0, PS034040.2.0, PS034973.2.0, PS035183.2.0, PS050878.2.0, PS050910.2.0, PS055033.2.0, PS061536.2.0, PS061614.2.0, PS073286.2.0, PS073781.2.0, PS080109.2.0, PS081122.2.0, PS083641.2.0, PS093055.2.0, PS101843.2.0, PS102211.2.0, PS111682.2.0, PS112313.2.0	PT016509.0, PT020679.0, PT021934.0, PT030721.0, PT093610.0, PT121602.0
OG0000032	PR044051.0, PR044408.0, PR044423.0, PR044447.0, PR051637.0	PS010586.2.0, PS010588.2.0, PS010589.2.0, PS010590.2.0, PS010591.2.0, PS010592.2.0, PS010593.2.0, PS010595.2.0, PS010597.2.0, PS010599.2.0, PS010799.2.0, PS010803.2.0, PS011709.2.0, PS013262.2.0, PS013263.2.0, PS031919.2.0, PS062508.2.0	PT024133.0, PT040577.0, PT040579.0, PT040801.0, PT040811.0, PT043493.0, PT043494.0, PT055263.0, PT055486.0, PT200396.0
OG0000033	PR023169.0, PR023170.0, PR023171.0, PR023172.0, PR023174.0, PR023176.0, PR023178.0, PR023179.0, PR023183.0, PR023184.0, PR023185.0, PR023186.0, PR023189.0, PR044784.0	PS032228.2.0	PT092749.0, PT092750.0, PT092752.0, PT092753.0, PT092754.0, PT092755.0, PT092756.0, PT092757.0, PT092758.0, PT142581.0, PT142582.0, PT142583.0, PT142586.0, PT182373.0, PT211379.0, PT211381.0
OG0000034	PR023515.0, PR034791.0, PR034795.0, PR052426.0, PR063234.0, PR063574.0, PR063580.0	PS014022.2.0, PS031653.2.0, PS040241.2.0, PS040247.2.0, PS061691.2.0, PS080222.2.0, PS080227.2.0, PS092345.2.0, PS111707.2.0	PT044280.0, PT062367.0, PT084400.0, PT084404.0, PT092376.0, PT121756.0, PT142241.0, PT150272.0, PT150278.0, PT161502.0, PT161507.0, PT170201.0, PT182120.0, PT191029.0, PT211699.0
OG0000035	PR024028.0, PR032438.0, PR033717.0, PR050101.0, PR052561.0	PS073315.2.0	PT013123.0, PT016302.0, PT023580.0, PT034240.0, PT035423.0, PT061307.0, PT063132.0, PT064204.0, PT082792.0, PT102491.0, PT110731.0, PT111779.0, PT112556.0, PT113397.0, PT113449.0, PT133078.0, PT133333.0, PT140708.0, PT141539.0, PT152503.0, PT153029.0, PT153507.0, PT172058.0, PT200478.0, PT220752.0
OG0000036		PS020222.2.0, PS021902.2.0, PS022443.2.0, PS023932.2.0, PS030766.2.0, PS031408.2.0, PS033365.2.0, PS041892.2.0, PS043109.2.0, PS050023.2.0, PS050063.2.0, PS050150.2.0, PS050646.2.0, PS053147.2.0, PS054095.2.0, PS054476.2.0, PS060814.2.0, PS060971.2.0, PS062039.2.0, PS070040.2.0, PS070185.2.0, PS082681.2.0, PS083801.2.0, PS084142.2.0, PS090169.2.0, PS092747.2.0, PS093315.2.0, PS101882.2.0, PS110221.2.0, PS113727.2.0	PT112830.0
OG0000037	PR011386.0, PR012439.0, PR012919.0, PR014253.0, PR014474.0, PR015375.0, PR022412.0, PR023820.0, PR024256.0, PR025481.0, PR030335.0, PR030365.0, PR031783.0, PR031792.0, PR031810.0, PR031834.0, PR032804.0, PR032899.0, PR040581.0, PR041690.0, PR042311.0, PR044394.0, PR045311.0, PR050194.0, PR053079.0, PR054323.0, PR071589.0, PR071615.0, PR071703.0		PT016831.0
OG0000038	PR011527.0, PR014788.0, PR020765.0, PR023287.0, PR024066.0, PR025251.0, PR031703.0, PR031841.0, PR032592.0, PR035168.0, PR040529.0, PR040888.0, PR040933.0, PR043910.0, PR044135.0, PR044148.0, PR044452.0, PR050294.0, PR053714.0, PR054186.0, PR060019.0, PR060112.0, PR060251.0, PR064257.0, PR070028.0, PR071681.0, PR071840.0, PR071849.0, PR072875.0		PT172629.0
OG0000039	PR011851.0, PR012394.0, PR012572.0, PR013369.0, PR021356.0, PR023037.0, PR023399.0, PR030652.0, PR031232.0, PR040220.0, PR041870.0, PR042474.0, PR043350.0, PR044729.0, PR045051.0, PR050437.0, PR051808.0, PR052626.0, PR053496.0, PR060111.0, PR060638.0, PR061079.0, PR063439.0, PR064196.0, PR070540.0, PR072104.0		PT064507.0, PT071229.0, PT121886.0, PT130899.0
OG0000040	PR014190.0, PR014212.0, PR014524.0, PR015257.0, PR015271.0, PR015609.0, PR021172.0, PR021196.0, PR021197.0, PR044265.0, PR044878.0, PR044904.0	PS010366.2.0, PS010367.2.0, PS010766.2.0, PS054865.2.0, PS055102.2.0, PS055103.2.0, PS055105.2.0, PS055106.2.0, PS055107.2.0	PT040310.0, PT040313.0, PT055375.0, PT055617.0, PT055619.0, PT055621.0, PT094204.0, PT100297.0, PT222517.0
OG0000041	PR014243.0, PR014500.0, PR041194.0, PR043875.0, PR073516.0, PR073623.0	PS010920.2.0, PS020918.2.0, PS023168.2.0, PS026223.2.0, PS032430.2.0, PS034558.2.0, PS052280.2.0, PS054600.2.0, PS103201.2.0	PT011113.0, PT014284.0, PT016727.0, PT021332.0, PT023611.0, PT052626.0, PT055071.0, PT064954.0, PT072330.0, PT074295.0, PT100546.0, PT132162.0, PT160643.0, PT202559.0, PT222532.0
OG0000042		PS015062.2.0, PS022007.2.0, PS022139.2.0, PS042186.2.0, PS053265.2.0, PS053965.2.0, PS054848.2.0, PS073530.2.0, PS073686.2.0, PS091055.2.0, PS102056.2.0, PS103078.2.0, PS110408.2.0, PS110617.2.0, PS111350.2.0	PT015574.0, PT030292.0, PT030456.0, PT034688.0, PT041324.0, PT045387.0, PT073019.0, PT080535.0, PT091075.0, PT100697.0, PT133624.0, PT142631.0, PT143643.0, PT171186.0, PT202085.0
